城市行政区划代码,城市名,地铁站ID,地铁站名,经度,纬度,所属线路
1100,北京,110100023339035,金安桥,116.163167,39.923620,900000069871|110100023339
1100,北京,900000069871003,四道桥,116.134010,39.916030,900000069871
1100,北京,900000069871004,桥户营,116.125809,39.912383,900000069871
1100,北京,900000069871005,上岸,116.122225,39.905138,900000069871
1100,北京,900000069871006,栗园庄,116.123254,39.895780,900000069871
1100,北京,900000069871007,小园,116.114443,39.890465,900000069871
1100,北京,900000069871008,石厂,116.100334,39.889378,900000069871
1100,北京,110100023110002,苹果园,116.177388,39.926727,110100023110
1100,北京,110100023110003,古城,116.190337,39.907450,110100023110
1100,北京,110100023110004,八角游乐园,116.212684,39.907442,110100023110
1100,北京,110100023110005,八宝山,116.235948,39.907440,110100023110
1100,北京,110100023110006,玉泉路,116.252888,39.907433,110100023110
1100,北京,110100023110007,五棵松,116.273987,39.907456,110100023110
1100,北京,110100023110008,万寿路,116.294765,39.907474,110100023110
1100,北京,110100023110009,公主坟,116.309919,39.907469,110100023110|110100023282
1100,北京,110100023110010,军事博物馆,116.321459,39.907422,110100023110|110100023116
1100,北京,110100023110011,木樨地,116.337583,39.907379,110100023110
1100,北京,110100023110012,南礼士路,116.352583,39.907234,110100023110
1100,北京,110100023098016,复兴门,116.356866,39.907242,110100023110|110100023098
1100,北京,110100023076018,西单,116.374072,39.907383,110100023110|110100023076
1100,北京,110100023110015,天安门西,116.391278,39.907472,110100023110
1100,北京,110100023110016,天安门东,116.401216,39.907780,110100023110
1100,北京,110100023110017,王府井,116.411571,39.908069,110100023110
1100,北京,110100023100007,东单,116.418480,39.908325,110100023110|110100023100
1100,北京,110100023098009,建国门,116.435806,39.908501,110100023110|110100023098
1100,北京,110100023110020,永安里,116.450497,39.908454,110100023110
1100,北京,110100023110021,国贸,116.461841,39.909104,110100023110|110100023282
1100,北京,110100023110022,大望路,116.475783,39.908287,110100023110|900000028907
1100,北京,110100023110023,四惠,116.495456,39.908749,110100023110|110100033086
1100,北京,110100023110024,四惠东,116.515664,39.908495,110100023110|110100033086
1100,北京,110100023098002,积水潭,116.373126,39.948653,110100023098
1100,北京,110100023098003,鼓楼大街,116.393776,39.948972,110100023098|110100023114
1100,北京,110100023098004,安定门,116.408240,39.949180,110100023098
1100,北京,110100023098005,雍和宫,116.417069,39.949336,110100023098|110100023100
1100,北京,110100023096004,东直门,116.435842,39.941626,110100023098|110100033066|110100023096
1100,北京,110100023098007,东四十条,116.434133,39.933801,110100023098
1100,北京,110100023098008,朝阳门,116.434584,39.924499,110100023098|110100023339
1100,北京,110100023098010,北京站,116.427287,39.904983,110100023098
1100,北京,110100023098011,崇文门,116.417093,39.901063,110100023098|110100023100
1100,北京,110100023098012,前门,116.397937,39.900192,110100023098
1100,北京,110100023098013,和平门,116.384209,39.900098,110100023098
1100,北京,110100023076019,宣武门,116.374314,39.899765,110100023098|110100023076
1100,北京,110100023098015,长椿街,116.363355,39.899433,110100023098
1100,北京,110100023098017,阜成门,116.356009,39.923686,110100023098
1100,北京,110100023098018,车公庄,116.354357,39.932397,110100023098|110100023339
1100,北京,110100023076013,西直门,116.355426,39.940474,110100023098|110100023076
1100,北京,110100023076036,天宫院,116.319932,39.670342,110100023076
1100,北京,110100023076035,生物医药基地,116.321662,39.686510,110100023076
1100,北京,110100023076034,义和庄,116.319079,39.712387,110100023076
1100,北京,110100023076033,黄村火车站,116.332611,39.722966,110100023076
1100,北京,110100023076032,黄村西大街,116.332631,39.731769,110100023076
1100,北京,110100023076031,清源路,116.332513,39.742724,110100023076
1100,北京,110100023076030,枣园,116.332204,39.753458,110100023076
1100,北京,110100023076029,高米店南,116.331605,39.763489,110100023076
1100,北京,110100023076028,高米店北,116.330787,39.773547,110100023076
1100,北京,110100023076027,西红门,116.328689,39.789800,110100023076
1100,北京,110100023076026,新宫,116.365549,39.812592,110100023076
1100,北京,110100023076025,公益西桥,116.370796,39.836135,110100023076
1100,北京,110100023076024,角门西,116.371154,39.845850,110100023076|110100023282
1100,北京,110100023076023,马家堡,116.371361,39.853109,110100023076
1100,北京,110100023050026,北京南站,116.378963,39.865029,110100023076|900000028907
1100,北京,110100023076021,陶然亭,116.374383,39.878470,110100023076
1100,北京,110100023054006,菜市口,116.374425,39.889296,110100023076|110100023054
1100,北京,110100023076017,灵境胡同,116.373746,39.915912,110100023076
1100,北京,110100023076016,西四,116.373332,39.924206,110100023076
1100,北京,110100023076015,平安里,116.372883,39.933949,110100023076|110100023339
1100,北京,110100023076014,新街口,116.367742,39.940667,110100023076
1100,北京,110100023076012,动物园,116.339031,39.938250,110100023076
1100,北京,110100023076011,国家图书馆,116.325190,39.943114,110100023076|110100023116|900000062236
1100,北京,110100023076010,魏公村,116.323220,39.957904,110100023076
1100,北京,110100023076009,人民大学,116.321367,39.966956,110100023076
1100,北京,110100023076008,海淀黄庄,116.317564,39.975996,110100023076|110100023282
1100,北京,110100023076007,中关村,116.316467,39.983991,110100023076
1100,北京,110100023076006,北京大学东门,116.315842,39.992212,110100023076
1100,北京,110100023076005,圆明园,116.310186,39.999662,110100023076
1100,北京,110100023076004,西苑,116.290908,39.998258,110100023076|900000062236
1100,北京,110100023076003,北宫门,116.277647,40.002373,110100023076
1100,北京,110100023076002,安河桥北,116.269956,40.012195,110100023076
1100,北京,110100023100001,宋家庄,116.428368,39.845849,110100023100|110100023282|110100023102
1100,北京,110100023100002,刘家窑,116.422119,39.857521,110100023100
1100,北京,110100023100003,蒲黄榆,116.423720,39.865621,110100023100|900000028907
1100,北京,110100023100004,天坛东门,116.420833,39.882558,110100023100
1100,北京,110100023054010,磁器口,116.419940,39.893172,110100023100|110100023054
1100,北京,110100023100008,灯市口,116.417783,39.917113,110100023100
1100,北京,110100023100009,东四,116.417493,39.924370,110100023100|110100023339
1100,北京,110100023100010,张自忠路,116.417156,39.933592,110100023100
1100,北京,110100023100011,北新桥,116.416884,39.940782,110100023100
1100,北京,110100023100013,和平里北街,116.418504,39.958734,110100023100
1100,北京,110100023100014,和平西桥,116.417975,39.968386,110100023100
1100,北京,110100023100015,惠新西街南口,116.417537,39.977121,110100023100|110100023282
1100,北京,110100023100016,惠新西街北口,116.417028,39.987836,110100023100
1100,北京,110100023070020,大屯路东,116.417377,40.003841,110100023100|110100023070
1100,北京,110100023100018,北苑路北,116.418089,40.030436,110100023100
1100,北京,110100023100019,立水桥南,116.414496,40.041956,110100023100
1100,北京,110100023100020,立水桥,116.412350,40.053032,110100023100|110100033066
1100,北京,110100023100021,天通苑南,116.412661,40.066458,110100023100
1100,北京,110100023100022,天通苑,116.412759,40.075222,110100023100
1100,北京,110100023100023,天通苑北,116.412888,40.083668,110100023100
1100,北京,110100023339022,潞城,116.747434,39.902652,110100023339
1100,北京,110100023339023,东夏园,116.733850,39.903147,110100023339
1100,北京,110100023339024,郝家府,116.717826,39.903195,110100023339
1100,北京,110100023339025,北运河东,116.707056,39.903268,110100023339
1100,北京,110100023339026,北运河西,116.688358,39.903024,110100023339
1100,北京,110100023339028,通州北关,116.661131,39.917962,110100023339
1100,北京,110100023339029,物资学院路,116.639316,39.926801,110100023339
1100,北京,110100023339002,草房,116.615574,39.924477,110100023339
1100,北京,110100023339003,常营,116.599722,39.925696,110100023339
1100,北京,110100023339004,黄渠,116.578266,39.924201,110100023339
1100,北京,110100023339005,褡裢坡,116.563961,39.924021,110100023339
1100,北京,110100023339006,青年路,116.517429,39.923168,110100023339
1100,北京,110100023339007,十里堡,116.502045,39.923076,110100023339
1100,北京,110100023339008,金台路,116.478115,39.923556,110100023339|900000028907
1100,北京,110100023282019,呼家楼,116.461618,39.923337,110100023339|110100023282
1100,北京,110100023339010,东大桥,116.451657,39.923054,110100023339
1100,北京,110100023114002,南锣鼓巷,116.404192,39.933848,110100023339|110100023114
1100,北京,110100023339014,北海北,116.386829,39.933247,110100023339
1100,北京,110100023339017,车公庄西,116.344082,39.932466,110100023339
1100,北京,110100023116013,白石桥南,116.325680,39.933022,110100023339|110100023116
1100,北京,110100023339019,花园桥,116.310683,39.932340,110100023339
1100,北京,110100023282043,慈寿寺,116.295467,39.933268,110100023339|110100023282
1100,北京,110100023339021,海淀五路居,116.276531,39.932584,110100023339
1100,北京,110100023339030,田村,116.252914,39.929503,110100023339
1100,北京,110100023339031,廖公庄,116.227292,39.932422,110100023339
1100,北京,110100023339032,西黄村,116.206932,39.933605,110100023339
1100,北京,110100023339033,杨庄,116.187004,39.927850,110100023339
1100,北京,110100023054032,花庄,116.695495,39.856722,110100023054|110100033086
1100,北京,110100023054031,高楼金,116.684340,39.863154,110100023054
1100,北京,110100023054030,群芳,116.670792,39.863515,110100023054
1100,北京,110100023054029,万盛东,116.657379,39.863491,110100023054
1100,北京,110100023054028,万盛西,116.632160,39.863328,110100023054
1100,北京,110100023054027,黑庄户,116.599119,39.858725,110100023054
1100,北京,110100023054026,郎辛庄,116.569826,39.856496,110100023054
1100,北京,110100023054025,黄厂,116.553759,39.848979,110100023054
1100,北京,110100023054022,焦化厂,116.537247,39.855488,110100023054
1100,北京,110100023054021,双合,116.526836,39.859691,110100023054
1100,北京,110100023054020,垡头,116.511821,39.860728,110100023054
1100,北京,110100023054019,欢乐谷景区,116.500067,39.866505,110100023054
1100,北京,110100023054018,南楼梓庄,116.501084,39.874578,110100023054
1100,北京,110100023054017,化工,116.503439,39.887369,110100023054
1100,北京,110100023054016,百子湾,116.497768,39.892530,110100023054
1100,北京,110100023054015,大郊亭,116.487935,39.893183,110100023054
1100,北京,110100023054014,九龙山,116.478695,39.893222,110100023054|900000028907
1100,北京,110100023054013,双井,116.461834,39.893512,110100023054|110100023282
1100,北京,110100023054012,广渠门外,116.448998,39.893648,110100023054
1100,北京,110100023054011,广渠门内,116.433877,39.893673,110100023054
1100,北京,110100023054024,桥湾,116.408464,39.892725,110100023054
1100,北京,110100023054008,珠市口,116.398104,39.891267,110100023054|900000040279
1100,北京,110100023054007,虎坊桥,116.384596,39.889486,110100023054
1100,北京,110100023054023,广安门内,116.358239,39.889418,110100023054
1100,北京,110100023054004,达官营,116.336455,39.889884,110100023054
1100,北京,110100023054003,湾子,116.327753,39.889954,110100023054
1100,北京,110100023054002,北京西站,116.321218,39.894706,110100023054|110100023116
1100,北京,110100023114020,中国美术馆,116.410803,39.923705,110100023114
1100,北京,110100023114003,什刹海,116.396219,39.937583,110100023114
1100,北京,110100023114005,安德里北街,116.395145,39.957227,110100023114
1100,北京,110100023114006,安华桥,116.394655,39.968507,110100023114
1100,北京,110100023114007,北土城,116.394193,39.976953,110100023114|110100023282
1100,北京,110100023114008,奥体中心,116.393759,39.985837,110100023114
1100,北京,110100023070018,奥林匹克公园,116.391758,40.002207,110100023114|110100023070
1100,北京,110100023114010,森林公园南门,116.392600,40.010122,110100023114
1100,北京,110100023114011,林萃桥,116.372998,40.021906,110100023114
1100,北京,110100023114012,永泰庄,116.354580,40.037728,110100023114
1100,北京,110100023114013,西小口,116.351644,40.046873,110100023114
1100,北京,110100023114014,育新,116.347328,40.060039,110100023114
1100,北京,110100023114015,霍营,116.360286,40.071857,110100023114|110100033066
1100,北京,110100023114016,回龙观东大街,116.363025,40.081175,110100023114
1100,北京,110100023114017,平西府,116.350425,40.090607,110100023114
1100,北京,110100023114018,育知路,116.326992,40.087863,110100023114
1100,北京,110100023114019,朱辛庄,116.313698,40.104297,110100023114|110100023118
1100,北京,900000040279010,天桥,116.398712,39.881920,900000040279
1100,北京,900000028907023,永定门外,116.399369,39.867435,900000040279|900000028907
1100,北京,900000040279008,木樨园,116.399839,39.859262,900000040279
1100,北京,900000040279007,海户屯,116.400301,39.851805,900000040279
1100,北京,900000040279005,大红门南,116.401045,39.836715,900000040279
1100,北京,900000040279004,和义,116.402073,39.814838,900000040279
1100,北京,900000040279003,东高地,116.409427,39.805074,900000040279
1100,北京,900000040279002,火箭万源,116.418627,39.799287,900000040279
1100,北京,900000040279001,五福堂,116.423903,39.785046,900000040279
1100,北京,900000040279018,德茂,116.441617,39.772709,900000040279
1100,北京,900000040279017,瀛海,116.448958,39.760694,900000040279
1100,北京,110100023092018,郭公庄,116.301889,39.814322,110100023116|110100023092
1100,北京,110100023116003,丰台科技园,116.297176,39.825233,110100023116
1100,北京,110100023116004,科怡路,116.297432,39.832480,110100023116
1100,北京,110100023116005,丰台南路,116.296748,39.840444,110100023116
1100,北京,110100023116006,丰台东大街,116.293857,39.855111,110100023116
1100,北京,110100023068003,七里庄,116.294292,39.866773,110100023116|110100023068
1100,北京,110100023116008,六里桥,116.302808,39.880239,110100023116|110100023282
1100,北京,110100023116009,六里桥东,116.315142,39.886886,110100023116
1100,北京,110100023116012,白堆子,116.325762,39.923818,110100023116
1100,北京,110100023060002,巴沟,116.293727,39.974179,110100023282|110100023060
1100,北京,110100023282003,苏州街,116.306332,39.975642,110100023282
1100,北京,110100023282005,知春里,116.328709,39.976334,110100023282
1100,北京,110100023282006,知春路,116.339960,39.976476,110100023282
1100,北京,110100023282007,西土城,116.354098,39.976549,110100023282
1100,北京,110100023282008,牡丹园,116.369844,39.976603,110100023282
1100,北京,110100023282009,健德门,116.381353,39.976723,110100023282
1100,北京,110100023282011,安贞门,116.405954,39.977005,110100023282
1100,北京,110100023282013,芍药居,116.435914,39.977636,110100023282|110100033066
1100,北京,110100023282014,太阳宫,116.447469,39.972678,110100023282
1100,北京,110100023096003,三元桥,116.456997,39.961508,110100023282|110100023096
1100,北京,110100023282016,亮马桥,116.461794,39.949415,110100023282
1100,北京,110100023282017,农业展览馆,116.461724,39.941344,110100023282
1100,北京,110100023282018,团结湖,116.461806,39.933747,110100023282
1100,北京,110100023282020,金台夕照,116.461743,39.916838,110100023282
1100,北京,110100023282023,劲松,116.461325,39.884387,110100023282
1100,北京,110100023282024,潘家园,116.460926,39.875387,110100023282
1100,北京,110100023282025,十里河,116.457983,39.866417,110100023282|900000028907
1100,北京,110100023282026,分钟寺,116.453976,39.852227,110100023282
1100,北京,110100023282027,成寿寺,116.447531,39.845874,110100023282
1100,北京,110100023282029,石榴庄,116.414103,39.845905,110100023282
1100,北京,110100023282030,大红门,116.399154,39.845383,110100023282
1100,北京,110100023282031,角门东,116.385649,39.845135,110100023282
1100,北京,110100023282033,草桥,116.351387,39.845869,110100023282|900000076659
1100,北京,110100023282034,纪家庙,116.333381,39.844433,110100023282
1100,北京,110100023092015,首经贸,116.320202,39.844463,110100023282|110100023092
1100,北京,110100023282036,丰台站,116.304540,39.849639,110100023282
1100,北京,110100023282037,泥洼,116.304173,39.858609,110100023282
